order_id,shamir_time,merkle_time,zk_time,zk_verified,reconstructed_secret,cpu_usage,memory_usage,latency
d09cc8d5-7dca-445d-b8a9-b4e39fba92c5,1.4781951904296875e-05,6.699562072753906e-05,1.1920928955078125e-06,True,True,16,256,155
22755791-e278-4db7-a84a-18f572bccd39,1.3113021850585938e-05,7.414817810058594e-05,1.9073486328125e-06,True,True,11,367,129
eac5c223-0f11-4bbc-bb10-8482b787e71a,1.2874603271484375e-05,6.604194641113281e-05,9.5367431640625e-07,True,True,11,283,118
1da064f0-126f-48cb-bf04-1c11bc07dbaa,1.2874603271484375e-05,6.604194641113281e-05,1.1920928955078125e-06,True,True,13,247,200
7bd7662d-69c0-4077-b43a-bea03ae0b731,1.2874603271484375e-05,6.699562072753906e-05,9.5367431640625e-07,True,True,16,350,175
7404b8ba-7327-4c9c-b51d-9b3a0699c47b,1.3113021850585938e-05,6.794929504394531e-05,1.9073486328125e-06,True,True,10,169,137
a07db622-2839-4a0e-a9da-cbb15ebaf1fc,1.2159347534179688e-05,6.508827209472656e-05,9.5367431640625e-07,True,True,18,439,180
ad525e7f-496d-4efc-955a-7df83fdd60f3,1.2874603271484375e-05,6.580352783203125e-05,1.9073486328125e-06,True,True,11,341,164
28352a94-c91b-443c-aed1-4f16f209d23e,1.3113021850585938e-05,6.699562072753906e-05,9.5367431640625e-07,True,True,15,247,162
1ac20c1d-d866-4b0c-a670-b782178fe743,1.2159347534179688e-05,6.699562072753906e-05,1.1920928955078125e-06,True,True,13,253,193
6302efcc-c268-4991-b480-0a02373a5447,1.1920928955078125e-05,6.818771362304688e-05,9.5367431640625e-07,True,True,16,116,139
c76ecbd4-dc92-4df9-b0a0-407a8d82e79f,1.1920928955078125e-05,6.723403930664062e-05,9.5367431640625e-07,True,True,12,220,128
bbe5a783-8810-4920-9b3b-239528ebf61b,1.1920928955078125e-05,6.985664367675781e-05,1.9073486328125e-06,True,True,13,150,194
3f4e9307-ec1e-4a4a-802f-8071ecde315c,1.3113021850585938e-05,6.890296936035156e-05,9.5367431640625e-07,True,True,12,126,176
539e8614-c932-4d15-8c4c-0630c61e992c,1.1920928955078125e-05,6.985664367675781e-05,9.5367431640625e-07,True,True,11,162,148
0f8c7951-58e3-4708-bbaf-7ca2bb3610e9,1.3113021850585938e-05,6.985664367675781e-05,1.1920928955078125e-06,True,True,11,378,155
4c60fe7a-9393-42fc-a01d-6ddc37fc3aa0,1.2159347534179688e-05,7.128715515136719e-05,9.5367431640625e-07,True,True,10,369,161
94e623e8-9627-4965-a66c-29c8c761134a,1.1920928955078125e-05,7.104873657226562e-05,9.5367431640625e-07,True,True,19,158,152
5b51d409-3dc0-4bf9-9f2b-ed9244da59c1,1.2159347534179688e-05,7.200241088867188e-05,1.9073486328125e-06,True,True,15,397,170
ef722a4d-0fc0-4714-806b-c5eefb37ed6b,1.2636184692382812e-05,7.224082946777344e-05,9.5367431640625e-07,True,True,15,471,166
ca5467e8-e214-40a4-8401-4983f9f5c605,1.1920928955078125e-05,7.414817810058594e-05,9.5367431640625e-07,True,True,12,426,126
221b5554-7ab0-455b-8e43-d1a4bb8ec203,1.2874603271484375e-05,7.295608520507812e-05,2.1457672119140625e-06,True,True,12,205,178
e113ac97-7595-40e8-893b-3c767dadd82a,1.3113021850585938e-05,7.510185241699219e-05,9.5367431640625e-07,True,True,18,472,139
e6ee61af-f39f-4edd-9d00-3b465190527f,1.1920928955078125e-05,7.390975952148438e-05,9.5367431640625e-07,True,True,16,375,100
e33792b7-267f-4d28-8623-3b31121df66f,1.2159347534179688e-05,7.605552673339844e-05,7.152557373046875e-07,True,True,19,445,125
8368c343-4298-41f7-87ed-05d8ae448e69,1.1920928955078125e-05,7.700920104980469e-05,1.9073486328125e-06,True,True,16,353,132
f780f3e1-7af0-44df-b780-dc1cbf6bdd39,1.3113021850585938e-05,7.605552673339844e-05,9.5367431640625e-07,True,True,20,195,158
70a4d7d0-8af5-436e-ab0c-770be8f17cec,1.1920928955078125e-05,7.605552673339844e-05,1.1920928955078125e-06,True,True,19,203,128
503e09aa-670e-467b-bc73-44228cd5e1b9,1.1920928955078125e-05,8.106231689453125e-05,1.9073486328125e-06,True,True,10,275,158
9dc6ae47-7ea0-4850-a71c-a4940b626bdc,1.1920928955078125e-05,8.082389831542969e-05,1.9073486328125e-06,True,True,17,407,138
28b7d18e-c29a-45d7-a4f8-306882a782b1,1.2874603271484375e-05,8.106231689453125e-05,1.9073486328125e-06,True,True,12,414,140
5c504c56-c908-44b5-8c38-c7a46fdaa122,1.2159347534179688e-05,8.177757263183594e-05,2.1457672119140625e-06,True,True,14,320,164
cd9232b0-3a17-4062-90c8-9effb8f34025,1.3113021850585938e-05,8.320808410644531e-05,9.5367431640625e-07,True,True,12,201,126
d0d22b27-f31f-4211-bad6-84a34e18b6d6,1.1920928955078125e-05,8.296966552734375e-05,1.9073486328125e-06,True,True,15,150,189
